,Column Labels,,,,,,,,,
First South Bank,,515000,,,,1,,,515000,1
Manhattan Bank,510000,,,,1,,,,510000,1
The Vinton County National Bank,,390000,120000,,,2,1,,510000,3
Catlin Bank,66500,375000,66000,,1,1,1,,507500,3
Choice Bank,325000,,,181500,1,,,1,506500,2
First National Bank and Trust,,366100,,140000,,3,,2,506100,5
Valley Bank of Glasgow,,,506100,,,,2,,506100,2
Fidelity Bank & Trust,,,325000,180000,,,1,2,505000,3
The First National Bank of Fort Smith,170000,75000,70000,190000,1,2,1,2,505000,6
Wyoming Community Bank,150000,355000,,,1,2,,,505000,3
Union Bank & Trust Company,,,115300,385000,,,1,2,500300,3
Clearpath FCU,,,500000,,,,1,,500000,1
Cy Fair FCU,,,500000,,,,2,,500000,2
"Midstates Bank, National Association",,,,500000,,,,2,500000,2
National Bank,,500000,,,,1,,,500000,1
Ocean Bank,,,,500000,,,,1,500000,1
St. Helens Community FCU,,,,500000,,,,2,500000,2
SPIRE CU,,500000,,,,1,,,500000,1
The Fisher National Bank,,150000,350000,,,1,1,,500000,2
Start Community Bank,,,500000,,,,1,,500000,1
Success Bank,,500000,,,,1,,,500000,1
The Union State Bank of Everest,150000,,,350000,1,,,1,500000,2
The Miners National Bank of Eveleth,,,,500000,,,,1,500000,1
Northeast CU,,,261500,235000,,,4,4,496500,8
Financial One CU,,345000,150000,,,3,1,,495000,4
CoreFirst Bank & Trust,,350000,144000,,,1,1,,494000,2
Capitol Bank,492700,,,,2,,,,492700,2
Spirit of Alaska FCU,,492500,,,,2,,,492500,2
First Independence Bank,,465048,,26000,,2,,1,491048,3
The Northland Foundation,250000,240000,,,1,1,,,490000,2
International Bank of Commerce,,102000,387300,,,2,3,,489300,5
The Cecilian Bank,,,,486000,,,,4,486000,4
Chambers State Bank,,,485600,,,,1,,485600,1
Hiway FCU,,,235300,244800,,,3,2,480100,5
First State Bank of Purdy,,,480000,,,,1,,480000,1
Strafford Economic Development Corporation,,477200,,,,3,,,477200,3
Bank of Sunset & Trust Company,,272000,204500,,,2,1,,476500,3
Security Federal Bank,,,,475000,,,,1,475000,1
Oregon Community Bank,475000,,,,1,,,,475000,1
Tower Community Bank,,,475000,,,,1,,475000,1
"Small Business Access Partners, Inc.",114300,210000,150000,,1,2,1,,474300,4
First Bank Kansas,,,,474000,,,,1,474000,1
Gateway Bank,,118000,230000,126000,,1,3,2,474000,6
Ozark Bank,,210000,172000,92000,,2,2,1,474000,5
Farmers State Bank of Hoffman,241000,,232400,,1,,1,,473400,2
Queens Cluster FCU,,170200,300000,,,5,3,,470200,8
Boeing Empl CU,138300,102700,,228600,2,2,,3,469600,7
Wheatland Bank,,,469400,,,,2,,469400,2
Kensington Bank,,205200,170000,92300,,3,2,2,467500,7
Adams Community Bank,,,276000,189000,,,2,5,465000,7
Amistad Bank,,350000,114700,,,1,1,,464700,2
Walpole Co-Operative Bank,,263800,,200000,,2,,2,463800,4
Prairie State Bank and Trust,,,,463000,,,,2,463000,2
The First National Bank in Carlyle,,352800,,110000,,2,,1,462800,3
First Bank and Trust of Memphis,,,461700,,,,1,,461700,1
Freedom Bank of Southern Missouri,,182000,25000,254500,,1,1,2,461500,4
The Girard National Bank,,,350000,111000,,,2,1,461000,3
American Bank & Trust,,385000,,75000,,2,,1,460000,3
Farmers and Merchants State Bank of Pierz,,318100,140000,,,7,2,,458100,9
The Grant County Bank,70000,40000,210300,137700,1,1,2,2,458000,6
Unity Bank North,,,390000,67500,,,1,1,457500,2
CommunityAmerica CU,,105600,118500,233100,,1,1,2,457200,4
Dane County CU,,455900,,,,1,,,455900,1
MetaBank,260000,195000,,,1,1,,,455000,2
Olympia Federal Savings & Loan Association,353600,100000,,,1,1,,,453600,2
Waycross Bank & Trust,,451500,,,,1,,,451500,1
Kirkwood Bank and Trust Co,350000,100000,,,1,1,,,450000,2
Public Service Empl CU,,,450000,,,,2,,450000,2
Valor Bank,450000,,,,2,,,,450000,2
Farmers & Merchants State Bank of Springfield,,,112000,336500,,,2,6,448500,8
Wells River Savings Bank,22500,425000,,,1,3,,,447500,4
Hometown National Bank,,445000,,,,1,,,445000,1
Elmira Savings Bank,80000,50000,,314400,1,1,,6,444400,8
The Pataskala Banking Company,,444400,,,,1,,,444400,1
"Greenstone Farm Credit Services, ACA",441000,,,,1,,,,441000,1
Coastal FCU,275000,25000,75000,64300,3,1,2,3,439300,9
Peoples CU,,,439000,,,,4,,439000,4
The Bank of Brodhead,,,,439000,,,,1,439000,1
First Alliance CU,,337000,101000,,,1,1,,438000,2
The Halstead Bank,,,435000,,,,2,,435000,2
Midwest Bank,124000,,310000,,1,,2,,434000,3
KELCO FCU,,,,433700,,,,1,433700,1
BANKWEST of Kansas,,69500,87500,275000,,2,1,3,432000,6
Republic Bank & Trust,180641,250000,,,3,2,,,430641,5
The First National Bank of Park Falls,,319200,35271,75000,,3,2,1,429471,6
Alliance CU,,30000,25000,374000,,1,1,2,429000,4
Cedar Security Bank,,,,429000,,,,2,429000,2
Wayne Bank and Trust Co.,214200,27000,,187600,1,1,,1,428800,3
First National Bank of America,,,378000,50000,,,1,1,428000,2
CSE FCU,,,427500,,,,1,,427500,1
United State Bank,,,427000,,,,2,,427000,2
AbbyBank,211900,138300,,75000,2,1,,1,425200,4
Meade County Bank,,,,425000,,,,2,425000,2
Park Ridge Community Bank,,275000,,150000,,1,,1,425000,2
Thayer County Bank,171000,252000,,,1,2,,,423000,3
"First State Bank of the South, Inc.",,,422200,,,,1,,422200,1
Unified Bank,,,166000,255700,,,3,5,421700,8
Watch Hill Bank,,306000,65000,50000,,1,1,1,421000,3
Amerasia Bank,,,300000,120000,,,1,1,420000,2
BankSouth,,420000,,,,1,,,420000,1
Capital Educators FCU,,420000,,,,1,,,420000,1
Patriots Bank,,,419500,,,,1,,419500,1
Self-Help FCU,,,150000,268000,,,1,1,418000,2
Prairie Mountain Bank,,,416800,,,,1,,416800,1
Pioneer Bank of Wisconsin,,150000,115000,151200,,1,1,2,416200,4
Verus Bank of Commerce,,266000,,150000,,1,,1,416000,2
Washington County Bank,,281000,135000,,,2,1,,416000,3
BankIowa,190000,75000,150000,,1,1,1,,415000,3
"Liberty Bank, Inc.",,,,415000,,,,3,415000,3
Resource One CU,,122300,194000,97000,,3,3,2,413300,8
Warren-Boynton State Bank,,412000,,,,1,,,412000,1
Freedom Financial Bank,,,411700,,,,3,,411700,3
West Milton State Bank,,407000,,,,1,,,407000,1
United Texas CU,75000,331600,,,2,2,,,406600,4
"New Peoples Bank, Inc.",,350400,,50000,,3,,1,400400,4
Bank of Commerce,,,,400000,,,,1,400000,1
Farmers Savings Bank,400000,,,,1,,,,400000,1
First National Bank & Trust Co of Williston,,,400000,,,,1,,400000,1
Fairfax State Savings Bank,,,400000,,,,1,,400000,1
Florida Business Development Corporation,400000,,,,2,,,,400000,2
Home Federal Bank,,,165000,235000,,,1,2,400000,3
"Renaissance Community Loan Fund, Inc.",,,150000,250000,,,1,1,400000,2
Point Breeze CU,,150000,250000,,,1,1,,400000,2
Prime Alliance Bank,,,,400000,,,,1,400000,1
Pioneer Federal Savings & Loan Association,,,400000,,,,1,,400000,1
The First National Bank of McHenry,400000,,,,1,,,,400000,1
Webster First FCU,,300000,64000,35000,,1,1,2,399000,4
Northstar Bank,,,75000,321000,,,1,2,396000,3
"First National Bank Ames, Iowa",100000,80000,,215400,1,2,,2,395400,5
Farmers Trust & Savings Bank,,395000,,,,2,,,395000,2
"First Montana Bank, Inc.",,,150000,245000,,,1,1,395000,2
Astra Bank,,,,391100,,,,2,391100,2
The Farmers & Merchants State Bank,,,,391000,,,,1,391000,1
"Freedom Bank, Inc.",,,390000,,,,1,,390000,1
South Eastern Economic Development Corporation,,240000,100000,50000,,3,1,1,390000,5
Oxford Bank & Trust,,389000,,,,1,,,389000,1
Uwharrie Bank,,68000,,320000,,1,,1,388000,2
Peach State Bank & Trust,,,,387000,,,,1,387000,1
Westby Co-op CU,,386600,,,,2,,,386600,2
Pentagon FCU,,,,386000,,,,1,386000,1
Institution for Savings In Newburyport and its Vicinity,,,35000,350600,,,2,6,385600,8
The First State Bank of Malta,35000,,,350000,1,,,1,385000,2
Unico Bank,,,,385000,,,,1,385000,1
Citizens Alliance Bank,150000,,234500,,1,,2,,384500,3
Capital Certified Development Corporation,,222000,75000,83000,,2,1,1,380000,4
Mahoning Valley Economic Development Corporation,378800,,,,4,,,,378800,4
Oakworth Capital Bank,,,,377000,,,,1,377000,1
Citizens Bank of Rogersville,,175000,,200000,,1,,1,375000,2
City & County CU,,370853,,,,3,,,370853,3
The Apple Creek Banking Company,,,370700,,,,2,,370700,2
Business Development Company,,,250000,120000,,,1,1,370000,2
Hebron Savings Bank,,70000,50000,250000,,1,1,1,370000,3
Viking Bank,,,,367881,,,,7,367881,7
Ballston Spa National Bank,,120000,40000,207000,,1,1,1,367000,3
First Southern National Bank,,82000,154400,125000,,1,1,1,361400,3
Metropolitan Economic Development Association,361300,,,,2,,,,361300,2
The Maries County Bank,,125000,110100,125000,,2,1,1,360100,4
Westerly Community CU,,,360000,,,,2,,360000,2
Western Massachusetts Enterprise Fund,,,244000,114500,,,3,2,358500,5
First State Bank of Ashby,,113000,127000,116900,,1,1,2,356900,4
Generations Community FCU,,355000,,,,1,,,355000,1
"Cooperativa de Ahorro y Cr<ac,e>dito de Arecibo (COOPACA)",,352900,,,,2,,,352900,2
Hanscom FCU,,,288000,63800,,,2,1,351800,3
Prospera CU,47500,107700,196000,,1,1,2,,351200,4
"Cornerstone Bank, National Association",,,351000,,,,1,,351000,1
First Bank of Bancroft,,,,351000,,,,1,351000,1
KSW FCU,,,,351000,,,,1,351000,1
State Bank of Texas,,,,351000,,,,1,351000,1
Stroud National Bank,,,,351000,,,,1,351000,1
Heritage State Bank,,,350200,,,,2,,350200,2
Bank of Feather River,,,,350000,,,,1,350000,1
Bellevue State Bank,,,,350000,,,,1,350000,1
African Development Center,250000,100000,,,1,2,,,350000,3
Bellwether Community CU,,,350000,,,,1,,350000,1
Directions CU,,,350000,,,,1,,350000,1
Horizon Financial Bank,350000,,,,2,,,,350000,2
Macon-Atlanta State Bank,,,350000,,,,1,,350000,1
Security State Bank of Lewiston,,,,350000,,,,1,350000,1
Peoples State Bank of Plainview,,350000,,,,1,,,350000,1
The First National Bank of Waseca,,,350000,,,,1,,350000,1
Terre Haute Savings Bank,,,,350000,,,,1,350000,1
The Bank of Romney,350000,,,,1,,,,350000,1
Washington Savings Bank,,350000,,,,1,,,350000,1
University CU,,75000,225000,50000,,2,4,2,350000,8
The Bank of Advance,,347800,,,,3,,,347800,3
California Business Bank,,347500,,,,1,,,347500,1
Texas Heritage Bank,,,,347200,,,,1,347200,1
"Iowa State Bank and Trust Company of Fairfield, Iowa",,,347000,,,,1,,347000,1
Merchants & Farmers Bank,,347000,,,,1,,,347000,1
First Option Bank,346500,,,,1,,,,346500,1
1st Financial Bank USA,,,345000,,,,1,,345000,1
Campus USA CU,,,,345000,,,,1,345000,1
Union State Bank of Fargo,,,75000,270000,,,2,1,345000,3
First Central State Bank,,270000,74000,,,1,1,,344000,2
Fox River State Bank,,,342000,,,,1,,342000,1
Olean Area FCU,,,340500,,,,4,,340500,4
First State Bank of Odem,,,90000,250000,,,1,1,340000,2
The Bank of Vernon,,,340000,,,,1,,340000,1
Seamen's Bank,,337500,,,,1,,,337500,1
First Bank of Tennessee,,,,336000,,,,1,336000,1
"Community Star CU, Inc.",,,185000,150000,,,1,1,335000,2
First Farmers & Merchants National Bank,265000,,,70000,1,,,1,335000,2
The First Bank of Baldwin,,,335000,,,,2,,335000,2
Business First Bank,25000,,,309500,1,,,1,334500,2
ELGA CU,333200,,,,1,,,,333200,1
First Bank & Trust Co.,,,,330500,,,,2,330500,2
Goldenwest FCU,,,60000,270000,,,2,5,330000,7
Iowa Savings Bank,,150000,,178000,,1,,2,328000,3
ABNB FCU,90200,236000,,,2,2,,,326200,4
Old Missouri Bank,325000,,,,1,,,,325000,1
Bank of Oakfield,264000,,,60000,3,,,2,324000,5
Security State Bank & Trust,,,,322500,,,,1,322500,1
Legacy Redevelopment Corporation,,250000,71200,,,1,1,,321200,2
TBA CU,,,320000,,,,1,,320000,1
Heritage Family FCU,97200,100000,121400,,3,2,3,,318600,8
American Community Bank of Indiana,316000,,,,1,,,,316000,1
Central Virginia FCU,,220000,94000,,,2,1,,314000,3
The Bank of Old Monroe,,,,314000,,,,1,314000,1
The Citizens Bank of Forsyth County,312500,,,,1,,,,312500,1
Vermont State Bank,,,247500,65000,,,1,1,312500,2
Community National Bank & Trust of Texas,,,,312000,,,,1,312000,1
Golden Valley Bank,,310800,,,,1,,,310800,1
Cattle Bank & Trust,,,,310000,,,,1,310000,1
Mid America Bank,,,,310000,,,,1,310000,1
Vibrant CU,,,,310000,,,,1,310000,1
Financial Partners CU,,,,308500,,,,1,308500,1
Helena National Bank,,306800,,,,1,,,306800,1
Westbury Bank,,305000,,,,1,,,305000,1
United Bank & Trust National Association,,303400,,,,1,,,303400,1
"Farmers Bank and Trust Company, Princeton, Kentucky",,,,303000,,,,1,303000,1
Central Bank of Branson,,,,300000,,,,1,300000,1
Clarke County State Bank,300000,,,,2,,,,300000,2
Delta Production Credit Association,,300000,,,,4,,,300000,4
Pilot Grove Savings Bank,,,300000,,,,1,,300000,1
"Republic Bank, Inc.",,,,300000,,,,1,300000,1
West Union Bank,,300000,,,,1,,,300000,1
Texas Bank Financial,,,,295000,,,,1,295000,1
Center National Bank,,,,292000,,,,1,292000,1
Blue Sky Bank,290000,,,,1,,,,290000,1
"Citizens First Bank, Inc.",,93500,,196000,,1,,1,289500,2
Mid Oregon FCU,,,,288000,,,,1,288000,1
Lakeside National Bank,,286500,,,,2,,,286500,2
The Bank,100000,35500,,150000,1,2,,1,285500,4
Bank Iowa,,135000,,150000,,1,,1,285000,2
"Union Bank, Inc.",,,,285000,,,,1,285000,1
Citizens First Bank,,,,283300,,,,1,283300,1
Bank of the Valley,,281200,,,,1,,,281200,1
First United CU,,,280000,,,,1,,280000,1
Washington State Bank,,,280000,,,,1,,280000,1
The Commercial Bank,,,,278000,,,,1,278000,1
The First National Bank of Liberal,,51000,,226000,,1,,1,277000,2
YOLO FCU,125000,,150000,,1,,1,,275000,2
SouthPoint Financial CU,,274000,,,,2,,,274000,2
Park State Bank,,,272500,,,,2,,272500,2
Andigo CU,,,,270000,,,,2,270000,2
Home Federal Savings & Loan Association of Grand Island,,,,270000,,,,2,270000,2
The Farmers and Merchants National Bank of Fairview,,60000,,208000,,1,,1,268000,2
First Service Credit Union,266300,,,,1,,,,266300,1
GECU,,140000,21100,105000,,1,1,1,266100,3
First Central Bank McCook,,,,266000,,,,1,266000,1
Integrity Bank & Trust,,,,265500,,,,1,265500,1
Commercial Bank and Trust Company,,,,265000,,,,1,265000,1
Citizens National Bank,,,50000,213592,,,1,2,263592,3
"Legend Bank, National Association",263500,,,,1,,,,263500,1
Merchants Bank,,120000,143000,,,1,2,,263000,3
EECU,260500,,,,1,,,,260500,1
C-Plant FCU,,,260000,,,,1,,260000,1
Paramount Bank,,,,260000,,,,1,260000,1
Riverview Community Bank,,,,260000,,,,2,260000,2
The Payne County Bank,,,,260000,,,,1,260000,1
Thrivent FCU,,,,260000,,,,1,260000,1
Baker Boyer National Bank,,150000,109000,,,1,1,,259000,2
First International Bank & Trust,,60000,,197000,,1,,1,257000,2
Yampa Valley Bank,,,,255700,,,,1,255700,1
Dedham Institution for Savings,,,105000,150000,,,2,1,255000,3
Andover State Bank,253500,,,,1,,,,253500,1
Southbridge CU,,,253400,,,,7,,253400,7
The University National Bank of Lawrence,,,252800,,,,1,,252800,1
Fidelity State Bank & Trust Company,,252200,,,,1,,,252200,1
United National Bank,,,251803,,,,1,,251803,1
California Coastal Certified Development Company,,250000,,,,1,,,250000,1
Coleman County State Bank,,,,250000,,,,1,250000,1
Green Country FCU,250000,,,,1,,,,250000,1
Garden Plain State Bank,,,,250000,,,,1,250000,1
Melrose CU,,,,250000,,,,2,250000,2
"Maple City Savings Bank, FSB",,,50000,200000,,,1,1,250000,2
Security State Bank of Oklahoma,,,,250000,,,,1,250000,1
State Bank of Arcadia,,250000,,,,1,,,250000,1
Premier Community CU,,,,245000,,,,2,245000,2
First Columbia Bank & Trust Co,,242800,,,,1,,,242800,1
CP FCU,,,242700,,,,1,,242700,1
"Maryland Capital Enterprises, Inc.",,,,242000,,,,1,242000,1
The Tampa State Bank,,239200,,,,1,,,239200,1
Voyage FCU,,236400,,,,2,,,236400,2
Bank of Sullivan,,,115000,120200,,,2,1,235200,3
BankFirst Financial Services,,,235000,,,,1,,235000,1
First National Bank of Weatherford,,234500,,,,1,,,234500,1
Five Points Bank,,,25000,207700,,,1,1,232700,2
Neighborhood Trust FCU,25000,182400,,25000,1,3,,1,232400,5
The Bridgewater CU,115000,,15000,100000,5,,1,1,230000,7
"Tomahawk Community Bank, S.S.B.",,,,230000,,,,1,230000,1
The Peshtigo National Bank,,,230000,,,,1,,230000,1
Farmers Savings Bank & Trust,,,148800,80000,,,1,1,228800,2
The First National Bank of Kemp,,,225500,,,,1,,225500,1
Bank of Newman Grove,,80000,,145000,,1,,2,225000,3
Bank of Utica,225000,,,,1,,,,225000,1
Oak View National Bank,,,,225000,,,,2,225000,2
Regional Development Funding Corporation,,225000,,,,2,,,225000,2
First Bank & Trust of Fullerton,221400,,,,1,,,,221400,1
Bank of Galesville,,70000,,150000,,1,,1,220000,2
Greater Iowa CU,,80000,50000,90000,,1,1,3,220000,5
Bank of Ruston,,216300,,,,1,,,216300,1
Northwest Bank & Trust Company,,,,215000,,,,2,215000,2
Baraboo State Bank,,,,214400,,,,2,214400,2
Franklin Bank & Trust Company,,,,213500,,,,1,213500,1
ACB Bank,212000,,,,1,,,,212000,1
Reliance Bank,212000,,,,3,,,,212000,3
NXT Bank,,210000,,,,1,,,210000,1
Service CU,,,,210000,,,,1,210000,1
West Gate Bank,,210000,,,,2,,,210000,2
Awakon FCU,,,208000,,,,1,,208000,1
Lindell Bank & Trust Company,,,110000,98000,,,1,1,208000,2
American Nation Bank,207500,,,,1,,,,207500,1
Fox Valley Savings Bank,56000,150000,,,1,1,,,206000,2
Chesapeake Bank,,205000,,,,1,,,205000,1
First New Mexico Bank,,204500,,,,1,,,204500,1
Commonwealth National Bank,,,,201000,,,,1,201000,1
Davis Trust Co.,,,,200000,,,,1,200000,1
Heritage Bank & Trust,,200000,,,,2,,,200000,2
"Metro Community Development, Inc.",200000,,,,1,,,,200000,1
Pavillion Bank,,200000,,,,1,,,200000,1
Sound Community Bank,,200000,,,,1,,,200000,1
The Goose River Bank,,,,200000,,,,4,200000,4
The Ohio Valley Bank Company,,200000,,,,1,,,200000,1
The Savings Bank,,,200000,,,,1,,200000,1
First State Bank of Bigfork,,,,197500,,,,1,197500,1
First National Bank of Griffin,,,195000,,,,1,,195000,1
The Genoa Banking Company,,,,195000,,,,1,195000,1
Pilgrim Bank,15000,33000,66800,80000,1,2,2,1,194800,6
The Metamora State Bank,,,,193800,,,,4,193800,4
Laurel Road Bank,,,193000,,,,1,,193000,1
Two Rivers Bank,,,150000,40000,,,1,1,190000,2
"WaterStone Bank, SSB",,,,189600,,,,1,189600,1
Forest Park National Bank & Trust Co.,,,,185000,,,,3,185000,3
The Hershey State Bank,,185000,,,,2,,,185000,2
Frontier Bank of Texas,180000,,,,1,,,,180000,1
United Citizens Bank & Trust Company,,,180000,,,,2,,180000,2
Community Bank Delaware,,,179000,,,,2,,179000,2
Habib American Bank,,,,175000,,,,1,175000,1
Louisiana Land Bank ACA,,175000,,,,1,,,175000,1
Palmetto Heritage Bank & Trust,,50000,,125000,,1,,1,175000,2
CedarStone Bank,,,,171400,,,,1,171400,1
Iowa-Nebraska State Bank,,171000,,,,1,,,171000,1
The First National Bank of Brownstown,,,170400,,,,1,,170400,1
Volunteer State Bank,,,169300,,,,1,,169300,1
The First Citizens National Bank of Upper Sandusky,,,,168100,,,,1,168100,1
Cedar Rapids State Bank,168000,,,,1,,,,168000,1
Southern Heritage Bank,,,,165000,,,,1,165000,1
Farmers & Merchants Bank of Colby,,,164300,,,,1,,164300,1
Encore Bank,,,160000,,,,1,,160000,1
The Nodaway Valley Bank,60000,,100000,,2,,1,,160000,3
"Northwestern Bank, National Association",,,157000,,,,2,,157000,2
Northern State Bank,,152000,,,,1,,,152000,1
Teachers FCU,,,122400,28400,,,5,2,150800,7
Andrews FCU,,,,150000,,,,1,150000,1
Certified Development Corporation of South Carolina,100000,50000,,,1,1,,,150000,2
Citizens Bank & Trust Co.,,,,150000,,,,1,150000,1
Credit Union of New Jersey,,150000,,,,1,,,150000,1
Dewey Bank,150000,,,,1,,,,150000,1
Essex Savings Bank,,,,150000,,,,1,150000,1
First Bank of Utica,,,,150000,,,,1,150000,1
First Northeast Bank of Nebraska,,150000,,,,2,,,150000,2
Heritage Community Bank,,,150000,,,,1,,150000,1
Henderson State Bank,,,150000,,,,1,,150000,1
Grandview Bank,,150000,,,,1,,,150000,1
"Hometown Bank, National Association",,,,150000,,,,1,150000,1
LAF CU,,,,150000,,,,1,150000,1
Monument Bank,,,,150000,,,,1,150000,1
"Morgantown Bank & Trust Company, Inc.",,,,150000,,,,2,150000,2
Longview Bank & Trust,,,150000,,,,1,,150000,1
Manasquan Bank,,50000,75000,25000,,1,1,1,150000,3
Regional FCU,,150000,,,,1,,,150000,1
San Luis Valley Federal Bank,,,,150000,,,,1,150000,1
The Bank of New Glarus,,150000,,,,1,,,150000,1
"Southeast Kentucky Economic Development Corporation, Inc.",,,,150000,,,,1,150000,1
The Farmers State Bank of Westmoreland,,,,150000,,,,1,150000,1
The Bank of Magnolia Company,,,,150000,,,,1,150000,1
The Corder Bank,,,,150000,,,,1,150000,1
The Jones National Bank & Trust Company of Seward,,,150000,,,,1,,150000,1
The Olpe State Bank,,,,150000,,,,1,150000,1
The Union State Bank,,150000,,,,1,,,150000,1
"AgStar Financial Services, ACA",149900,,,,1,,,,149900,1
Greenville Federal,,,,149700,,,,1,149700,1
Rabun County Bank,,,,149000,,,,1,149000,1
Conneaut Savings Bank,148500,,,,1,,,,148500,1
The Exchange State Bank,,148500,,,,1,,,148500,1
ESB Financial,,,147500,,,,1,,147500,1
Athol Savings Bank,145800,,,,1,,,,145800,1
The Henry County Bank,145000,,,,1,,,,145000,1
State Bank of Taunton,,145000,,,,1,,,145000,1
The Juniata Valley Bank,,145000,,,,2,,,145000,2
Walker State Bank,,142000,,,,1,,,142000,1
Pike National Bank,,140000,,,,1,,,140000,1
Iowa Falls State Bank,,,139500,,,,1,,139500,1
"America's CU, A FCU",136800,,,,1,,,,136800,1
CB&S Bank,,35500,,100000,,1,,1,135500,2
Jeanne D' Arc CU,,,135000,,,,1,,135000,1
NebraskaLand National Bank,,,,135000,,,,1,135000,1
The Capon Valley Bank,,,135000,,,,1,,135000,1
Reliant Community FCU,,,,132000,,,,1,132000,1
Southern Bank & Trust,132000,,,,1,,,,132000,1
Rio Bank,,131000,,,,1,,,131000,1
Hope Enterprise Corporation,,,100000,30500,,,1,1,130500,2
Bank of Stronghurst,,,,130000,,,,1,130000,1
Hawaii Community FCU,50000,,,80000,1,,,2,130000,3
Portland FCU,,,,130000,,,,1,130000,1
Persons Banking Company,,,130000,,,,1,,130000,1
Kearney Trust Company,,,,129600,,,,3,129600,3
Pine Country Bank,,129300,,,,3,,,129300,3
Integrity Bank Plus,,,128500,,,,1,,128500,1
"Pedagogy Institute, Inc.",,30000,96000,,,1,1,,126000,2
Alliance Catholic CU,,,125000,,,,1,,125000,1
Better Banks,,,,125000,,,,1,125000,1
Bank of Salem,,,125000,,,,1,,125000,1
Commercial Savings Bank,125000,,,,1,,,,125000,1
"California International Bank, A National Banking Associatio",125000,,,,1,,,,125000,1
Gate City Bank,,125000,,,,1,,,125000,1
McHenry Savings Bank,,,125000,,,,1,,125000,1
Red Crown FCU,,125000,,,,1,,,125000,1
RTN FCU,,,,125000,,,,1,125000,1
Fulda Area CU,124500,,,,1,,,,124500,1
Woodland Bank,,77500,20000,25000,,2,1,1,122500,4
United Farmers State Bank,,121500,,,,1,,,121500,1
Premier Community Bank,120500,,,,1,,,,120500,1
Albina Opportunities Corporation,120000,,,,1,,,,120000,1
Citizens and Farmers Bank,,,,120000,,,,1,120000,1
First Children's Finance,75000,,45000,,2,,2,,120000,4
Luana Savings Bank,,,,120000,,,,1,120000,1
Systematic Savings Bank,120000,,,,1,,,,120000,1
"Coastal Area District Development Authority, Inc.",,,117000,,,,1,,117000,1
The First National Bank of Hughes Springs,,115700,,,,2,,,115700,2
Heartland CU,,,,115500,,,,2,115500,2
State Nebraska Bank & Trust,,,,115000,,,,2,115000,2
Western Vista FCU,,,,115000,,,,2,115000,2
United Minnesota Bank,,,,114900,,,,2,114900,2
The Fountain Trust Company,,,,114700,,,,1,114700,1
Connections Bank,,,114000,,,,1,,114000,1
The First National Bank of Brundidge,,,,113900,,,,2,113900,2
Powell Valley National Bank,,113200,,,,1,,,113200,1
Citizens State Bank of Hayfield,,,61300,50000,,,1,1,111300,2
Clackamas Community FCU,,,110000,,,,1,,110000,1
Pilot Bank,110000,,,,1,,,,110000,1
Community Ventures Corporation,,,109300,,,,1,,109300,1
The Harrison County Bank,,,108600,,,,2,,108600,2
"Cape & Islands Community Development, Inc.",,108000,,,,1,,,108000,1
Sunshine State Economic Development Corporation,,,,108000,,,,1,108000,1
The Washington County Council on Economic Development,,,,108000,,,,1,108000,1
American Bank & Trust Wisconsin,,,,105000,,,,1,105000,1
First Federal Savings Bank of Champaign-Urbana,,,105000,,,,1,,105000,1
Hawaii Central FCU,,,,102200,,,,1,102200,1
Asian Bank,,,,100000,,,,1,100000,1
1st Bank Yuma,,,,100000,,,,1,100000,1
Boone Bank & Trust Co.,,,,100000,,,,1,100000,1
"Business Lenders, LLC",,100000,,,,1,,,100000,1
First National Bank of Eastern Arkansas,,,100000,,,,1,,100000,1
Elgin State Bank,,100000,,,,1,,,100000,1
First Minnesota Bank,,,100000,,,,1,,100000,1
First Central Bank,,,,100000,,,,1,100000,1
"Heritage Bank, Inc",,100000,,,,1,,,100000,1
Harvest Bank,,,,100000,,,,1,100000,1
Metro CU,,,100000,,,,1,,100000,1
Midwest Community Bank,,,100000,,,,1,,100000,1
San Antonio Citizens FCU,,,,100000,,,,1,100000,1
RSNB Bank,,,,100000,,,,1,100000,1
Deseret First FCU,,,,99000,,,,2,99000,2
Central Savings Bank,,97100,,,,1,,,97100,1
Bank Northwest,,,,96000,,,,2,96000,2
First New Mexico Bank Las Cruces,,,80000,15000,,,1,1,95000,2
Hilltop National Bank,,,45000,50000,,,1,1,95000,2
Wayne County Bank,,,,95000,,,,3,95000,3
American National Bank and Trust Company,,,94000,,,,1,,94000,1
Great Plains State Bank,,,93100,,,,1,,93100,1
DNB National Bank,,,,90000,,,,1,90000,1
First State Bank of Colfax,,90000,,,,1,,,90000,1
NorState FCU,,,,90000,,,,1,90000,1
MainStreet Bank,,,90000,,,,1,,90000,1
State Savings Bank,,,90000,,,,1,,90000,1
Richland State Bank,,,,88500,,,,1,88500,1
First National Bank and Trust Co. of Bottineau,,,,87500,,,,1,87500,1
Central Bank and Trust Co.,,85000,,,,1,,,85000,1
The Tri-County Bank,,,85000,,,,1,,85000,1
Progressive Ozark Bank,,83000,,,,1,,,83000,1
The Park Bank,,,,82000,,,,1,82000,1
AmeriServ Financial Bank,,,81000,,,,1,,81000,1
Velocity CU,,,,80300,,,,1,80300,1
Hawaii State FCU,,,80000,,,,1,,80000,1
Lake-Osceola State Bank,,80000,,,,1,,,80000,1
The First National Bank of Pandora,,80000,,,,1,,,80000,1
Peoples Bank & Trust Co.,,77500,,,,1,,,77500,1
